judul                                                                    ,isi                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,tanggal                          ,kategori
"Putin Dukung Kamala Harris: Tawanya Menular, Artinya Semua Baik"        ,"Presiden Rusia Vladimir Putinbergurau bahwa dirinya mendukung calon Presiden (capres) Amerika Serikat dari Partai Demokrat, Kamala Harris, alih-alih capres dari Partai Republik, Donald Trump.
                                                                          Putin berkelakar Harris memiliki tawa yang menular yang mencerminkan bahwa dunia baik-baik saja.
                                                                          
                                                                          ""Dia tertawa begitu ekspresif dan menular sehingga itu berarti semuanya baik-baik saja dengannya,"" kata Putin, seperti dikutip Reuters.
                                                                          Putin melontarkan candaan ini saat sedang menjawab pertanyaan moderator di acara forum ekonomi di Rusia pada Kamis (5/9). Sang moderator kala itu bertanya bagaimana pandangan Putin mengenai pemilihan umum di AS.
                                                                          Putin mulanya menjawab serius bahwa pemilihan umum di AS tergantung pada pilihan rakyat Amerika.
                                                                          Namun, dia berkelakar bahwa Presiden petahana Joe Biden saat ini mendukung Harris. Oleh sebab itu, dirinya pun akan memilih Harris.
                                                                          ""Kami akan melakukan hal yang sama, kami akan mendukungnya,"" kata Putin.
                                                                          
                                                                          
                                                                          
                                                                          
                                                                          
                                                                          
                                                                          Awal tahun ini, Putin sempat berkomentar bahwa dirinya lebih memilih Biden dibandingkan Trump karena Biden lebih ""jadul"" sehingga mudah ditebak.
                                                                          Meski begitu, badan intelijen AS percaya Putin lebih setuju Trump memenangkan pemilihan presiden (pilpres) daripada Harris, sebab Trump tak begitu mendukung Ukraina dalam perangnya dengan Kremlin."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ," Jumat, 06 Sep 2024 14:31 WIB " ,Internasional
"Tinggalkan RI, Paus Fransiskus Twit Perpisahan Pakai Bahasa Indonesia"  ,"Pemimpin Gereja Katolik seluruh dunia Paus Fransiskusmenyampaikan pesan perpisahan dalam Bahasa Indonesia jelang keberangkatannya ke Papua Nugini, negara keduayang akan dikunjungi dalam perjalanan apostoliknya pada Jumat (6/9).
                                                                          Pesan perpisahan itu berisikan ucapan terima kasih dan kesannya selama berkunjung ke Indonesia sejak 3-6 September.
                                                                          
                                                                          ""Terima kasih atas sambutan yang luar biasa yang telah diberikan kepada saya,"" kata Paus di X.
                                                                          Dia lalu berujar, ""Semoga Tuhan memberkati kalian dan membuat kalian terus bertumbuh dan bertahan dalam kedamaian dan kasih persaudaraan.""
                                                                          Meski bukan negara dengan mayoritas umat Katolik, sambutan dan antusiasme warga Indonesia menyambut kedatangan Paus Fransiskusterasa begitu besar.
                                                                          Kedatangan sang Bapak Suci sudah disambut meriah dan dengan suka cita ketika mendarat di Bandara Soekarno-Hatta. Sejak tiba di RI, kesederhanaan Paus Fransiskusjuga memicu decak kagum yang luar biasa tak hanya bagi umat Katolik di Indonesia, tapi juga masyarakat RI secara umum.
                                                                          
                                                                          [Gambas:Twitter]
                                                                          
                                                                          
                                                                          
                                                                          
                                                                          Di awal memulai perjalanan apostoliknya ke empat negara Asia Pasifik ini, Paus Fransiskus memilih menggunakan pesawat komersil ketimbang jet pribadi seperti kebanyakan kepala negara lainnya. Sang kepala negara Vatikan ini juga memilih memakai aksesoris sederhana seperti jam tangan dan sepatu lama.
                                                                          Selain itu, Paus Fransiskus juga enggan menginap di hotel mewah dan memilih tinggal di Kedutaan Besar Vatikan. Meski bukan bagian dari agenda resmi, Paus Fransiskus juga tak segan menghentikan mobil yang ia kendarai dan menyapa warga di jalanan. Beberapa warga termasuk seorang ibu hamil bahkan beruntung mendapat berkat langsung dari sang pemimpin umat Katolik dunia.
                                                                          Salah satu warga di Jakarta sampai-sampai tak kuasa menahan haru saat melihat Paus secara langsung dan ketika dia melambaikan tangan untuk menyapa mereka.
                                                                          
                                                                          
                                                                          
                                                                          Saat akan menghadiri acara di Gereja Katedral, warga juga tumpah ruah di sekitar area tersebut. Anak-anak hingga orang lanjut usia turut menyapa pemimpin umat Katolik itu.
                                                                          Tak hanya itu, warga juga tampak memadati Kedutaan Besar Vatikan dan Bandara Internasional Soekarno-Hatta untuk mengiring kepergian Paus.
                                                                          Di bandara, warga sempat menyanyikan ""Viva Il Papa"" saat Paus dan rombongan tiba.
                                                                          Selama di Indonesia, Paus bertemu dengan Presiden Joko Widodo (Jokowi), tokoh lintas agama, dan menghadiri misa kudus yang diikuti sekitar 80.000 warga.
                                                                          Setelah mengakhiri kunjungan di Indonesia, Paus akan melanjutkan tur apostolik ke Papua Nugini, Timor Leste, dan Singapura."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ," Jumat, 06 Sep 2024 14:01 WIB " ,Internasional
"Pamit ke Menag Yaqut di Bandara, Paus Fransiskus Doakan RI Lebih Baik"  ,"Pemimpin Gereja Katolik seluruh dunia Paus Fransiskus menyampaikan kata-kata sebelum terbang ke Papua Nugini saat di Bandara Internasional Soekarno Hatta, Tangerang, Jumat (6/9) pagi.
                                                                          Setelah menutup kunjungannya ke Indonesia, Paus akan melanjutkan tur apostolik ke Papua Nugini. Kepergian sang Bapak Suci diantar sejumlah pemuka agama Katolik dan pejabat pemerintah, termasuk Menteri Agama Yaqut Cholil Qoumas.
                                                                          
                                                                          ""Beliau [Paus] bilang I pray for you, you pray for me [saya berdoa untuk Anda, Anda berdoa untuk saya],"" kata Yaqut ke awak media di Gedung VVIP Soetta usai mengantar Paus.
                                                                          Yaqut juga mengatakan Paus menitip salam untuk Presiden Indonesia Joko Widodo (Jokowi).
                                                                          ""[Paus] berharap Indonesia ke depan lebih baik,"" imbuh Menag.
                                                                          
                                                                          
                                                                          
                                                                          
                                                                          
                                                                          Yaqut juga membeberkan bahwa Jokowi kata menitip salam untuk Paus.
                                                                          Selain itu, Jokowi berharap Paus aman dalam perjalanan dan selamat sampai tujuan.
                                                                          Saat ini, Paus dan rombongan sedang dalam perjalanan menuju Papua Nugini untuk melanjutkan tur apostolik.
                                                                          
                                                                          Dia terbang memakai pesawat komersial Garuda A330 dan diperkirakan akan tiba di sana sekitar pukul 18.50 waktu setempat.
                                                                          Kepala agama Katolik itu akan berada di Papua Nugini selama 6-9 September.
                                                                          Sebelum ke Papua Nugini, Paus sempat berada di Indonesia pada 3-6 September. Selama di sini, dia bertemu berbagai pejabat dan tokoh lintas agama.
                                                                          Paus juga bertemu dengan Presiden Joko Widodo (Jokowi) hingga menghadiri misa agung di Gelora Bung Karno (GBK) pada Kamis.
                                                                          "                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ," Jumat, 06 Sep 2024 13:30 WIB " ,Internasional
"FOTO: Sampai Jumpa Lagi, Paus Fransiskus"                               ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,"Jumat, 06 Sep 2024 13:00 WIB"   ,Internasional
Paus Fransiskus Pilih Nasi Goreng Jadi Menu di Pesawat ke Papua Nugini   ,"Pemimpin Gereja Katolik seluruh dunia, Paus Fransiskus,memilih nasi goreng sebagai menu makanan dia saat berada di pesawat menuju Papua Nugini, Jumat (6/9).
                                                                          Pilihan menu makanan Paus itu terungkap dari Ketua Konferensi Waligereja Indonesia (KWI),Antonius Subianto Bunjamin, usai mengantar kepergian Paus.
                                                                          
                                                                          ""Kalau di pesawat pilih nasi goreng. Menurut keterangan tadi sebelum berangkat, tim dari Vatikan memilih makanan, lalu akhirnya menurut beliau, Paus memilih nasi goreng,"" kata kata Antonius ke awak media di ruang VVIP terminal 3 Bandara Soekarno-Hatta, Tangerang.
                                                                          Karena Paus memilih nasi goreng, lanjut dia, semua orang di pesawat memakan menu yang sama tanpa diajukan pilihan lain.
                                                                          ""Saya enggak tau jokes [bercanda] atau tidak [semua makan nasi goreng tanpa diberi pilihan]. Hanya mungkin untuk menunjukkan kesederhanaan,"" ungkap Antonius.
                                                                          Di kesempatan itu, Antonius juga mengatakan Paus terkesan dengan Indonesia. Dia menyebut pemimpin umat Katolik itu merasa bahagia dengan sambutan dan keramahan warga RI.
                                                                          
                                                                          ""Beliau mengatakan 'keramah-tamahan masyarakat Indonesia sungguh menyentuh hati saya',"" ujar dia menirukan Paus.
                                                                          Paus saat ini sedang dalam perjalanan menuju Papua Nugini untuk melanjutkan tur apostolik.
                                                                          Dia terbang ke sana menggunakan pesawat komersial Garuda A330 dan diperkirakan akan tiba di sana sekitar pukul 18.50 waktu setempat.
                                                                          
                                                                          
                                                                          
                                                                          Kepala agama Katolik itu akan berada di Papua Nugini selama 6-9 September.
                                                                          Sebelum ke Papua Nugini, Paus sempat berada di Indonesia pada 3-6 September. Selama di sini, dia membawa pesan perdamaian, persatuan, dan harmonisasi.
                                                                          Di Indonesia, Paus bertemu dengan Presiden Joko Widodo (Jokowi), pejabat pemerintah, tokoh masyarakat dan lintas agama, pelajar hingga menghadiri misa agung di Gelora Bung Karno (GBK) pada Kamis.
                                                                          
                                                                          
                                                                          
                                                                          "                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ," Jumat, 06 Sep 2024 12:24 WIB " ,Internasional
"Pesan-pesan Paus Fransiskus untuk Indonesia, Ingatkan soal Penguasa"    ,"Pemimpin Gereja Katolik dunia, Paus Fransiskus, memberikan pesan-pesan untuk Indonesia selama berkunjung pada 3-6 September.
                                                                          Saat di Indonesia, Paus bertemu Presiden Joko Widodo (Jokowi), pejabat pemerintah, tokoh masyarakat dan lintas agama, pelajar hingga menghadiri misa agung di Gelora Bung Karno (GBK).
                                                                          Selama di negara ini, Paus menyebarkan pesan-pesan perdamaian dan menunjukkan keramahan serta kesederhanaan dia.
                                                                          Berikut pesan-pesan dari Paus untuk Indonesia.
                                                                          
                                                                          Paus menyinggung soal kerukunan saat bertemu dengan Jokowi di Istana Merdeka, Jakarta, pada Rabu.
                                                                          ""Kerukunan di dalam perbedaan dicapai ketika perspektif-perspektif tertentu mempertimbangkan kebutuhan-kebutuhan bersama dari semua orang dan ketika setiap kelompok suku dan denominasi keagamaan bertindak dalam semangat persaudaraan, seraya mengejar tujuan luhur dengan melayani kebaikan bersama,"" kata Paus.
                                                                          Paus juga mengatakan Gereja Katolik ingin meningkatkan dialog antaragama untuk memperkuat kerukunan, yang bisa menjamin perdamaian dan menyatukan upaya demi menghapus ketimpangan di beberapa wilayah negara.
                                                                          ""Dengan cara ini, prasangka dapat dihapus dan suasana saling menghargai dan saling percaya dapat bertumbuh,"" imbuh dia.
                                                                          
                                                                          Paus juga menyinggung soal konflik kekerasan yang terjadi di sejumlah negara karena sikap kurang saling menghargai, intoleransi meningkat karena memaksakan kepentingan sendiri.
                                                                          Kondisi semacam itu, lanjut dia, bahkan ada yang berujung peperangan atau pertumpahan darah.
                                                                          ""Kadang-kadang, ketegangan-ketegangan dengan unsur kekerasan timbul di dalam negara-negara karena mereka yang berkuasa ingin menyeragamkan segala sesuatu dengan memaksakan visi mereka bahkan dalam hal-hal yang seharusnya diserahkan kepada otonomi individu-individu atau kelompok-kelompok yang berkaitan,"" ujar Paus saat bertemu Jokowi.
                                                                          Dia lalu berkata, terlepas dari kebijakan-kebijakan yang mengesankan, terdapat juga komitmen yang berorientasi ke depan untuk menerapkan prinsip-prinsip keadilan sosial.
                                                                          
                                                                          Paus mengatakan bahwa perang merupakan tindakan buruk dan merupakan kekalahan.
                                                                          ""Berperang atau berselisih, saling bertengkar itu sesuatu yang sangat buruk,"" kata Paus bertemu dengan ratusan pelajar Indonesia di Ghra Pemuda, Jakarta, Rabu (4/9).
                                                                          Menurut dia tindakan yang baik adalah saling bertukar pikiran dan berbagi untuk memecahkan suatu masalah.
                                                                          ""Dan jangan lupa satu hal ini: peperangan adalah sebuah kekalahan. Permusuhan adalah kekalahan,"" imbuh Paus.
                                                                          Paus juga mengatakan Indonesia harus menjaga kekayaan yang dimiliki. Dia menyebut kekayaan terbesar RI bukan tambang.
                                                                          ""Indonesia adalah negara besar, mozaik budaya, suku bangsa, adat istiadat, keberagaman yang sangat kaya, yang tercermin pula dalam keanekaragaman ekosistem dan lingkungan sekitarnya,"" kata Paus saat bertemu tokoh lintas agama di Masjid Istiqlal, Kamis (5/9).
                                                                          ""Dan jika benar kalian adalah tuan rumah tambang emas terbesar di dunia, ketahuilah bahwa harta yang paling berharga adalah kemauan agar perbedaan tak menjadi alasan untuk bertikai,"" imbuh Paus.
                                                                          Dia juga meminta agar Indonesia tak menyia-nyiakan anugrah tersebut dan jangan memiskinkan diri dari kekayaan sebesar itu.
                                                                          
                                                                          
                                                                          Saat menghadiri misa di GBK, Paus juga mengingatkan umat Katolik di Indonesia untuk saling berbagi.
                                                                          Dia mengutip pernyataan Bunda Teresa, sosok yang terkenal melayani dan mengadvokasi orang-orang miskin, sakit, serta kaum papa.
                                                                          ""Santa Teresa dari Kalkuta, yang peringatannya kita rayakan hari ini, yang tanpa lelah peduli pada orang-orang termiskin dan memajukan perdamaian dan dialog, pernah berkata: 'Ketika kita tidak memiliki apa pun untuk diberikan, hendaklah kita memberikan ketiadaan itu. Dan ingatlah, bahkan ketika kamu tidak menuai apa-apa, jangan pernah lelah menabur',"" ujar Paus.
                                                                          
                                                                          
                                                                          Selain itu, Paus juga mengingatkan agar warga di Indonesia untuk tetap semangat dan menjaga mimpi-mimpinya.
                                                                          ""Saudara dan saudari, saya juga hendak berkata kepada Anda, kepada bangsa ini, kepada nusantara yang mengagumkan dan beranekaragam ini: janganlah lelah berlayar dan menebarkan jalamu, janganlah lelah bermimpi dan membangun lagi sebuah peradaban perdamaian! Beranilah selalu untuk memimpikan persaudaraan!,"" kata Paus.
                                                                          Dia juga mendorong warga untuk menaburkan kasih, dengan penuh keyakinan menempuh jalan dialog, dan memperlihatkan kebaikan hati untuk menjadi pembangun persatuan dan perdamaian.
                                                                          ""Dengan demikian, Anda akan menyebarkan aroma harapan di sekeliling Anda,"" imbuh dia.
                                                                          
                                                                          [Gambas:Video CNN]
                                                                          "                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ," Jumat, 06 Sep 2024 11:50 WIB " ,Internasional
"Dideportasi dari RI, Buronan Alice Guo Langsung Ditahan di Filipina"    ,"Mantan Wali Kota Tarlac di Filipina, Alice Guo, telah tiba di ibu kota Manila pada Jumat (6/9) dini hari waktu setempat, usai dideportasi dari Indonesia.
                                                                          Pihak berwenang Filipina mengatakan Alice Guo diekstradisi dari RI menggunakan penerbangan sewaan pemerintah, yang mendarat di Bandara Internasional Manila sekitar pukul 1.30 pagi waktu Filipina.
                                                                          
                                                                          Buronan eks wali kota Tarlac di provinsi Bamban itu kini berada dalam tahanan polisi nasional Filipina.
                                                                          ""Kembalinya Alice Guo merupakan pencapaian penting bagi sistem peradilan Filipina, dan menyoroti kolaborasi efektif antara mitra internasional dan lembaga penegak hukum,"" kata Komisaris Biro Imigrasi Filipina, Norman Tansingco, dikutip AFP.
                                                                          Alice Guo ditangkap interpol di Indonesia pada Selasa (3/9) lalu, usai dituduh menjadi mata-mata China. Dia dikejar sejak Juli lalu dan kabur ke tiga negara yaitu Malaysia, Singapura, dan Indonesia.
                                                                          Perempuan bernama lengkap Alice Leal Guo merupakan seorang pebisnis dan politikus yang sempat menjabat sebagai Wali Kota Tarlac, Bamban, pada Juni 2022-Agustus 2024.
                                                                          
                                                                          Pada Juni 2024, perempuan yang memiliki nama China Guo Hua Ping itu diskors sebagai wali kota oleh Ombudsman Filipina, setelah Kementerian Dalam Negeri dan Pemerintahan Daerah melayangkan tuduhan gratifikasi terhadapnya.
                                                                          Kemendagri Filipina menuding Alice terlibat dengan sindikat kriminal China. Perempuan yang memiliki dwi kewarganegaraan Filipina dan China ini diduga terlibat Philippine Offshore Gaming Operator (POGO) di daerahnya.
                                                                          Filipina menuding Alice dan rekan-rekan konspiratornya melakukan pencucian uang sebesar lebih dari 100 juta peso hasil kegiatan kriminal.
                                                                          Ombudsman pun memecat Alice sebagai wali kota pada 13 Agustus 2024.
                                                                          Presiden Filipina, Ferdinand Marcos, mengucapkan terima kasih kepada pemerintah RI atas bantuan menangkap Alice Guo.
                                                                          ""Biarlah ini menjadi peringatan bagi mereka yang mencoba menghindari keadilan, itu adalah tindakan yang sia-sia. Hukum itu panjang dan akan menjangkau Anda,"" kata Marcos.
                                                                          
                                                                          
                                                                          
                                                                          
                                                                          
                                                                          "                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ," Jumat, 06 Sep 2024 11:03 WIB " ,Internasional
"Warga Padati Kedubes Vatikan-Bandara Soetta, Iringi Kepulangan Paus"    ,"Sejumlah warga memadati Kedutaan Besar Vatikan di Jakarta dan Bandara Internasional Soekarno-Hatta di Tangerang, Banten, untuk mengiringi kepulangan pemimpin Gereja Katolik Paus Fransiskus.
                                                                          Warga berduyun-duyun ke Kedubes Vatikan sejak pagi. Sementara itu, sejumlah warga meramaikan sekitar area VVIP terminal 3 pada pukul 08.30 hingga 09.00.
                                                                          Puluhan orang di sekitar VVIP bandara terdiri dari berbagai kalangan mulai dari orang lanjut usia hingga anak-anak.
                                                                          Salah satu warga, Antonia Haryani Ningsih, (87) bahkan datang dari Purworejo, Jawa Tengah. Ia tiba di bandara bersama anaknya, Handayani Theresia (63).
                                                                          
                                                                          ""Saya ingin tahu, ingin ketemu dan minta berkah,"" kata Antonia.
                                                                          Antonia mengaku senang dan bangga bisa bertemu dengan Paus meski di bandara.Dia mengaku tak kebagian tiket misa di Gelora Bung Karno (GBK) pada Kamis.
                                                                          ""Bisa masuk ke sini [area di luar VVIP bandara) senang sekali, ada yang nolong, terima kasih untuk Tuhan yang memberkati,"" ujar dia.
                                                                          
                                                                          Antonia lalu berujar, ""Puji Tuhan bisa masuk apalagi nanti bisa nyalami , aduh lebih seneng lagi.""
                                                                          Paus berada di Indonesia pada 3-6 September. Selama di sini, dia membawa pesan perdamaian, persatuan, dan harmonisasi.
                                                                          Di Indonesia, Paus bertemu dengan Presiden Joko Widodo (Jokowi), pejabat pemerintah, tokoh masyarakat dan lintas agama, pelajar hingga menghadiri misa agung di Gelora Bung Karno (GBK) pada Kamis.
                                                                          
                                                                          Dia akan terbang ke Papua Nugini menggunakan pesawat komersial Garuda A330 dan diperkirakan akan tiba di sana sekitar pukul 18.50 waktu setempat.
                                                                          Kepala agama Katolik itu akan berada di Papua Nugini selama 6-9 September. Di Papua Nugini, dia akan bertemu dengan tokoh lintas agama, Perdana Menteri Papua Nugini James Marape, dan menghadiri misa kudus di Stadion Sir John Guise Port Moresby.
                                                                          "                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ," Jumat, 06 Sep 2024 10:19 WIB " ,Internasional
"Paus Fransiskus Tiba di Soetta, Siap Lanjut Tur ke Papua Nugini"        ,"Pemimpin Gereja Katolik seluruh dunia sekaligus Kepala Negara Takhta Suci Vatikan, Paus Fransiskus,tiba di Bandara Internasional Soekarno-Hatta, Tangerang, pada pukul 10.02 WIB Jumat (6/9).
                                                                          Paus akan melanjutkan perjalanan apostoliknya ke Port Moresby, Papua Nugini.
                                                                          
                                                                          Kepergian Paus diantar Menteri Agama Yaqut Cholil Qoumas, Duta Besar Vatikan untuk Indonesia Piero Pioppo, dan Dewan Pertimbangan Presiden Republik Indonesia Gandi Sulistiyanto.
                                                                          Selain itu, Uskup Agung Jakarta Kardinal Ignatius Suharyo, Ketua Konferensi Waligereja Indonesia Antonius Subianto Bunyamin, dan Ketua Panitia Kunjungan Apostolik Paus Fransiskus ke Indonesia Ignatius Jonan turut melepas kepergian Paus.
                                                                          Paus terbang ke Papua Nugini menggunakan pesawat komersial Garuda A330 dan diperkirakan akan tiba di sana sekitar pukul 18.50 waktu setempat.
                                                                          
                                                                          Kepala agama Katolik itu akan berada di Papua Nugini selama 6-9 September.
                                                                          Di Papua Nugini, dia akan bertemu dengan tokoh lintas agama, Perdana Menteri Papua Nugini James Marape, dan menghadiri misa kudus di Stadion Sir John Guise Port Moresby.
                                                                          Sebelum ke Papua Nugini, Paus berada di Indonesia pada 3-6 September 2024.
                                                                          
                                                                          
                                                                          
                                                                          Di Indonesia, Paus bertemu dengan Presiden Joko Widodo (Jokowi), pejabat pemerintah, tokoh masyarakat dan lintas agama, pelajar hingga menghadiri misa agung di Gelora Bung Karno (GBK) pada Kamis.
                                                                          Misa itu disebut dihadiri 80.000 umat Katolik dari Sabang sampai Merauke.
                                                                          Saat misa, Paus juga menyampaikan pesan perdamaian dan membagi semangat untuk tak menyerah.
                                                                          
                                                                          
                                                                          
                                                                          "                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ," Jumat, 06 Sep 2024 10:03 WIB " ,Internasional
VIDEO: Momen Haru Pemuda Menangis di Pelukan Paus Fransiskus             ,"Seorang pemuda menangis dalam pelukan Paus Fransiskus saat berkunjung ke Kantor Konferensi Wali Gereja Indonesia (KWI) Jakarta Pusat, Kamis (5/9).
                                                                          Saat pemuda mencium tangan Paus Fransiskus, ia mulai menangis dan Paus pun langsung memeluk pemuda tersebut.
                                                                          Paus berkunjung ke Indonesia selama empat hari pada 3-6 September.
                                                                          Hari ini Kamis (5/9) Paus Fransiskus memimpin Misa Suci di GBK yang dihadiri ribuan umat Katolik.
                                                                          "                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ," Jumat, 06 Sep 2024 09:50 WIB " ,Internasional
