judul,isi,tanggal,kategori
FOTO: Momen Rudal Yaman Hantam Israel Tengah,"Sebuah rudal yang ditembakkan dari Yaman jatuh ke area terbuka dan kosong di Israel, tak ada korban jiwa dalam serangan tersebut.","Minggu, 15 Sep 2024 15:34 WIB",Internasional
"Ribuan Orang Kepung Gedung Pemerintahan Israel, Desak Netanyahu Mundur","Ribuan massa anti-pemerintah Israel berkumpul di pusat kota Tel Aviv untuk demonstrasi dengan tuntutan membebaskan tawanan yang ditahan di Gaza, Palestina.
Diberitakan Al Jazeera, Sabtu (14/9), massa itu berkumpul di depan gedung pemerintah dan markas militer Israel. Mereka datang mendesak Perdana Menteri karena tidak kunjung membuat kesepakatan dengan Hamas soal nasib tawanan.
""Pemerintah yang menyabotase kesepakatan ini mengabaikan para tawanan dan membiarkan mereka mati,"" ujar Yotam Cohen, pedemo dan adik seorang tentara Israel yang masih ditahan di Gaza.
""Selama Netanyahu berkuasa, perang ini akan berlangsung tanpa batas waktu dan tidak akan terjadi kesepakatan penyanderaan. Demi nyawa para sandera, Netanyahu harus diganti,"" lanjut Cohen.

Ribuan massa yang berdemo itu diikuti keluarga hingga kerabat para tentara yang disandera. Tak hanya itu, demonstrasi diikuti massa yang resah dengan kepemimpinan Netanyahu selama ini.
Mereka ramai-ramai menyoraki Perdana Menteri Benjamin Netanyahu dan mendesaknya agar bisa mencapai kesepakatan dengan Hamas mengenai pembebasan tawanan.
Massa juga turut menuntut agar Netanyahu dapat menjamin kembalinya sekitar 100 tawanan dalam kesepakatan tersebut.
Sebagian pedemo juga merasa frustrasi karena Israel dan Hamas terus-menerus gagal melakukan negosiasi terkait tawanan. Beberapa massa bahkan mengecam Netanyahu yang ogah serius supaya tetap bisa berkuasa selama perang.
Demonstrasi besar-besaran itu kembali terjadi di Israel dalam dua minggu terakhir, tepatnya sejak enam jenazah tentara Israel yang menjadi tawanan ditemukan di Gaza.
Unjuk rasa itu terjadi secara terus-menerus hingga diperkirakan 750 ribu orang ikut menghadiri demo pada pekan lalu.
Agresi Israel di Jalur Gaza masih terus berlanjut sejak pertama pecah pada Oktober 2023 lalu. Per hari ini, sebanyak 41.020 warga Palestina tewas dan 94.925 lainnya terluka.
Korban tewas mayoritas anak-anak dan perempuan. Israel berulang kali menggempur kamp pengungsi, bahkan yang terbaru terang-terangan menyerang Al Mawasi, wilayah yang diklaim zona aman oleh Negeri Zionis.
Sementara itu, Hamas menyatakan tim negosiasi mereka, yang dipimpin oleh pejabat senior Khalil al-Hayya, telah bertemu dengan para mediator di Doha, Qatar, pada Rabu (11/9).

Pertemuan itu dihadiri oleh Perdana Menteri Qatar Sheikh Mohammed bin Abdulrahman Al Thani dan kepala intelijen Mesir Abbas Kamel.
Ini merupakan negosiasi terbaru setelah negosiasi sebelum-sebelumnya berujung buntu. Sebab, Israel meminta agar bisa mengontrol perbatasan Mesir-Gaza yang dikenal sebagai Koridor Philadelphia, untuk mencekal pergerakan Hamas.
Pada Sabtu (7/9), Direktur Badan Intelijen Pusat (Central Intelligence Agency/CIA) Amerika Serikat, William Burns, selaku kepala negosiator AS, mengatakan bahwa proposal gencatan senjata yang lebih rinci akan dibuat dalam beberapa hari ke depan.
"," Minggu, 15 Sep 2024 14:38 WIB ",Internasional
Israel Klaim Tak Ada Korban Jiwa Imbas Serangan Rudal Yaman,"MiliterIsrael mengatakan sebuah rudal yang ditembakkan dari Yamanjatuh ke area terbuka dan kosong di daerahnyahari ini (15/9).
Rudal itu disebut melintasi wilayah Israel Tengah dari Timur dan jatuh di area kosong. Israel mengklaim tidak ada korban jiwa dalam peristiwa itu karena rudal jatuh di daerah yang tidak berpenghuni.
Melansir Arab News, beberapa saat sebelumnya, sirene serangan udara berbunyi di Tel Aviv,yang menyebar ke seluruh wilayah Israel Tengah. Sirine itu membuat penduduk berlarian dan mencari tempat berlindung.
""Setelah sirene yang berbunyi beberapa saat yang lalu di Israel Tengah, sebuah rudal surface-to-surface diidentifikasi melintasi Israel Tengah dari Timur dan jatuh di daerah terbuka. Tidak ada korban jiwa maupun luka yang dilaporkan,"" kata militer Israel.

Ledakan keras juga terdengar di wilayah itu. Menurut militer Israel, bunyi ledakan berasal dari pencegat rudal yang telah dihancurkan. Militer juga menambahkan bahwa pedoman perlindungannya terhadap penduduk Israel tidak berubah.
Pada Juli lalu, milisiHouthiYamanyang merupakan sekutu Iran menembakkan pesawat nirawak jarak jauh ke Tel Aviv. Kejadian ini menewaskan satu orang dan melukai empat lainnya.
Serangan itu mendorong Israel melakukan serangan udara besar-besaran terhadap lokasi-lokasi Houti di dekat pelabuhan Hodeidah di Yaman, serta menewaskan sedikitnya tiga orang dan melukai 87 orang lainnya.


"," Minggu, 15 Sep 2024 13:25 WIB ",Internasional
"FOTO: Banjir Terjang Eropa Tengah, 4 Warga Rumania Tewas","Badai menghantam Eropa pada Sabtu waktu setempat sehingga menyebabkan banjir, termasuk di Rumania. Empat orang tewas.","Minggu, 15 Sep 2024 13:00 WIB",Internasional
"VIDEO: Banjir Hantam Rumania Timur, 4 Warga Dilaporkan Tewas","Setidaknya 4 orang tewas akibat banjir yang menghantam Rumania timur pada Sabtu (14/9).
Hujan deras selama berhari-hari disebut jadi penyebab air sungai meluap dan menggenangi permukiman warga.
Pemerintah setempat menyebut setidaknya 8 daerah terkena dampak dari banjir tersebut.
Dan daerah Galati jadi titik yang paling terdampak oleh bencana itu.
Selain korban tewas, banjir itu merusak 5 ribu rumah dan menyebabkan aliran listrik terputus."," Minggu, 15 Sep 2024 12:09 WIB ",Internasional
"Tabrakan Kereta di Mesir, Tiga Orang Tewas dan 49 Korban Luka-luka","Kecelakaan kereta terjadi diMesir ketika dua kereta bertabrakan di wilayah utara negara itu, Sabtu (14/9). Insiden itu menelan tiga korban jiwa dan 49 orang luka-luka.
Diberitakan dari AFP, Kementerian Kesehatan Mesir menjelaskan dua korban jiwa itu merupakan anak-anak, sementara satu korban lainnya orang dewasa.
Tabrakan itu terjadi di Zagazig, sekitar 80 kilometer utara Kairo. Kecelakaan itu menjadi insiden terbaru dari sejumlah rangkaian kecelakaan kereta di Mesir.
Sejumlah peristiwa serupa juga sempat terjadi di jaringan rel kereta Mesir. Infrastruktur dari jaringan tersebut disebut sudah menua dan salah urus, sehingga kembali memicu rentetan kecelakaan.

Hal itu dikonfirmasi Menteri Transformasi Kamel el-Wzir. Ia mengatakan penyebab kecelakaan itu yakni faktor manusia, tetapi akan menyerahkan pihak keamanan untuk melakukan penyelidikan.
Kamel el-Wazir juga menambahkan bahwa tidak ada masalah teknis dalam kecelakaan tersebut, sehingga mempertegas faktor kelalaian petugas sebagai penyebabnya.
Infrastruktur transportasi umum itu sudah menjadi persoalan lama bagi masyarakat Mesir. Padahal, 105 juta masyarakat Mesir sangat bergantung kepada kereta untuk bepergian.
Namun, jaringan transportasi itu berulang kali diterpa kendala hingga mengalami kecelakaan mematikan. Padahal, jaringan kereta di Mesir itu menjadi salah satu yang terbesar di benua Afrika.

Pada April 2021, sedikitnya 23 orang tewas dan 139 lainnya mengalami luka-luka akibat kereta yang tergelincir keluar rel. Insiden itu terjadi di utara Kairo, tepatnya wilayah bernama Toukh.
Kecelakaan itu juga disebut terjadi imbas kelalaian pegawai kereta sekaligus kesalahan manajemen kereta di Mesir.
Insiden serupa terjadi sekitar sebulan sebelum kecelakaan tersebut, yakni pada 26 Maret 2021. Kecelakaan di wilayah Sohag itu menyebabkan 18 orang meninggal dunia dan 200 lainnya luka-luka.
Kecelakaan tersebut bermula ketika seseorang yang tidak dikenal dengan sengaja menekan rem darurat pada kereta terdepan, kemudian tertabrak gerbong berikutnya.
"," Minggu, 15 Sep 2024 11:58 WIB ",Internasional
"7 Negara dengan Pasukan Cadangan Terbanyak, RI Peringkat Berapa?","Dalam istilah militer, reserve military personnel ataupasukan cadangan merupakan tentara paruh waktu yang anggotanya terdiri dari warga sipil.
Artinya, mereka tetap menjadi warga sipil dan baru bertugas sebagai tentara ketika dibutuhkan atau mendapat panggilan negara.
Pasukan militer cadangan ini berbeda dengan pasukan militer tetap. Sebab, pasukan militer tetap bekerja secara penuh waktu. Status mereka pun bukan lagi sebagai warga sipil, melainkan sudah menjadi anggota militer.
Namun, meski keduanya berbeda, baik pasukan militer cadangan atau pasukan militer tetap tetap mendapat pelatihan militer yang cukup. Sebab, keduanya harus siap jika negara memanggil untuk bertugas, dikutip dari ASVABProgram.

Berbicara pasukan militer cadangan, ada tujuh negara yang rupanya punya pasukan militer cadangan terbanyak di dunia. Penasaran negara mana saja yang masuk daftar tersebut?
Menurut Global Fire Power (GFP), berikut ini merupakan tujuh negara yang punya pasukan militer cadangan terbanyak di dunia.
India menduduki peringkat ke-7 sebagai negara dengan pasukan militer cadangan terbanyak di dunia. Menurut data yang dirilis GFP, India saat ini memiliki 1.115.000 pasukan militer cadangan di negaranya.


Pada 2024 ini, India menduduki peringkat ke-5 sebagai negara dengan pasukan militer paling kuat dari 145 negara di dunia. Negara berjuluk Anak Benua ini mendapatkan skor indeks kekuatan militer sebesar 0,1023.
Negara dengan pasukan militer cadangan terbanyak selanjutnya adalah Ukraina. Menurut GFP, negara yang kini sedang berkonflik dengan Rusia itu menduduki peringkat ke-6 dengan jumlah militer cadangan sebesar 1,2 juta personel.
Ukraina pada 2024 ini menduduki peringkat ke-18 sebagai negara dengan pasukan militer terkuat dari 145 negara di dunia. Mereka mendapatkan skor indeks kekuatan militer sebesar 0,2598 dari GFP.

Selain India dan Ukraina, Filipina juga termasuk negara dengan jumlah pasukan militer cadangan paling banyak di dunia. Negara yang ada di sebelah utara Indonesia ini berada di peringkat ke-5 dengan jumlah militer cadangan sebesar 1.200.000 personel.
Berbicara kekuatan militer, Filipina pada 2024 ini berada di peringkat ke-34 sebagai negara dengan pasukan militer paling kuat dari 145 negara di dunia. Sementara itu, Filipina menjadi negara dengan militer ke-5 se-Asia Tenggara. Mereka mendapatkan skor indeks kekuatan militer sebesar 0,4691 dari GFP.
Rusia menjadi negara dengan jumlah pasukan cadangan militer paling banyak ke-4 di dunia. Menurut GFP, negara yang dipimpin oleh Vladimir Putin ini punya jumlah militer cadangan sebanyak 2 juta personel.
Masih menurut GFP, Rusia sendiri saat ini menduduki peringkat ke-2 sebagai negara dengan pasukan militer paling kuat dari 145 negara di dunia. Negara ini mendapatkan skor indeks kekuatan militer sebesar 0,0702.

Beranjak ke peringkat ke-3, ada Taiwan sebagai negara dengan jumlah pasukan militer cadangan paling banyak di dunia. Menurut GFP, negara dengan pengakuan terbatas ini tercatat memiliki jumlah militer cadangan sebesar 2.310.000 personel.
Pada 2024 ini, Taiwan menempati peringkat ke-24 sebagai negara dengan pasukan militer paling kuat dari 145 negara di dunia. Mereka mendapatkan skor indeks kekuatan militer sebesar 0,3302 dari GFP.
Korea Selatan juga termasuk negara dengan jumlah pasukan militer cadangan paling banyak di dunia. Menurut GFP, negara yang menjadi rival Korea Utara ini tercatat memiliki 3,1 juta personel militer cadangan.
Korsel pada 2024 ini menduduki peringkat ke-5 sebagai negara dengan pasukan militer paling kuat di dunia. Mereka mendapatkan skor indeks kekuatan militer sebesar 0,1416 dari GFP.

Negara yang menduduki peringkat ke-1 sebagai negara dengan jumlah pasukan militer cadangan paling banyak di dunia adalah Vietnam. Menurut GFP, mereka tercatat memiliki jumlah militer cadangan sebesar 5 juta personel.
Vietnam pada 2024 ini menduduki peringkat ke-22 sebagai negara dengan pasukan militer paling kuat di dunia. Sementara itu, negara ini menduduki peringkat ke-2 sebagai negara dengan militer paling kuat se-Asia Tenggara. Vietnam mendapatkan skor indeks kekuatan militer sebesar 0.3518 dari GFP.
Selain negara-negara di atas, Indonesia juga termasuk negara dengan pasukan militer cadangan yang relatif banyak. Indonesia saat ini menduduki peringkat ke-17 dengan jumlah militer cadangan sebesar 400 ribu personel.
Indonesia pada 2024 ini juga menduduki peringkat ke-13 sebagai negara dengan pasukan militer paling kuat di dunia. Sementara itu, Indonesia menduduki peringkat ke-1 sebagai negara dengan militer paling kuat se-Asia Tenggara."," Minggu, 15 Sep 2024 11:45 WIB ",Internasional
RUDAL: Mengenal Gelar Bangsawan Inggris dari Serial Bridgerton,"Serial fiksi roman historis Bridgerton menggambarkan aspek hirarki sosial dalam masyarakat Inggris yang sampai sekarang masih menerapkan gelar bangsawan.
Serial yang tayang di Netflixini berdasarkan seri buku karya Julia Quinn berjudul sama. Serial ini berlatar awal 1800-an yang masih kental dengan Kerajaan Inggris.
Apa saja gelar bangsawan Inggris dan bagaimana statusnya dalam kelas sosial?"," Minggu, 15 Sep 2024 10:35 WIB ",Internasional
VIDEO: Kamala: Warga AS Lelah Punya Pemimpin yang Saling Menyalahkan,"Calon Presiden AS Kamala Harris menyebut warga AS lelah punya pemimpin yang membuat warga saling menyalahkan, dan butuh pemimpin yang bisa menyatukan negara."," Minggu, 15 Sep 2024 10:13 WIB ",Internasional
VIDEO: Trump Tuduh Kamala Harris Kenakan 'Earpiece' saat Debat Capres,"Calon Presiden AS Donald Trump menuduh lawannya, Kamala Harris, menggunakan earpiece saat agenda debat capres pada 10 September lalu."," Minggu, 15 Sep 2024 09:43 WIB ",Internasional
