judul,tanggal,isi,kategori
Putin Ungkap Tetap Bikin Ukraina Target Eksperimen Rudal Hipersonik," Minggu, 24 Nov 2024 13:50 WIB ","Presiden Rusia Vladimir Putin menyebut akan tetap melanjutkan eksperimen rudal balistik dan hipersonik ke Ukraina.
Rusia menguji coba rudal hipersonik tersebut ke wilayah Ukraina, pada Kamis (21/11), menandai babak baru dalam konflik antara kedua negara. Penembakan rudal tersebut dilakukan setelah Gedung Putih mengizinkan Ukraina untuk menembakkan rudal jarak jauhnya ke Rusia.

Dalam sebuah pertemuan dengan pimpinan kementerian pertahanan Rusia, Putin mengklaim bahwa rudal tersebut tidak dapat dicegat oleh pertahanan udara. Ia juga mengatakan Rusia akan memulai produksi massal senjata barunya ini.
""Saat ini tidak ada cara untuk melawan rudal semacam itu, tidak ada cara untuk mencegatnya, di dunia. Dan saya akan menekankan sekali lagi: Kami akan terus menguji sistem terbaru,"" kata Putin, dikutip dari CNN.
Putin juga menyebut Rusia sedang mengembangkan beberapa sistem persenjataan serupa yang akan diuji coba lebih lanjut.


""Berdasarkan hasil uji coba, senjata-senjata ini juga akan mulai diproduksi. Artinya, kami sedang mengembangkan seluruh lini sistem jarak menengah dan jarak pendek,"" katanya.
Lebih lanjut, pernyataan Putin ini muncul sehari setelah Rusia menembakkan rudal ""Oreshnik"" ke kota Dnipro, Ukraina.

Presiden Ukraina Volodymyr Zelensky mengutuk serangan tersebut, dan mengatakan dalam sebuah video yang diposting di Telegram bahwa ""hari ini, tetangga kita yang gila itu sekali lagi menunjukkan siapa dia sebenarnya dan bagaimana dia merendahkan martabat, kebebasan, dan kehidupan manusia pada umumnya.""
Zelensky mengatakan pada Jumat (22/11), Ukraina mengadakan pertemuan dengan para sekutunya untuk mengembangkan ""sistem pertahanan udara yang baru"" untuk menanggapi ancaman baru dari Rusia.
Terpisah, dua pejabat AS dan seorang pejabat Barat mengatakan rudal balistik ""eksperimental"" tersebut membawa beberapa hulu ledak, yang mungkin merupakan pertama kalinya senjata semacam itu digunakan dalam perang.

Perdana Menteri Polandia Donald Tusk, yang merupakan sekutu penting Ukraina, mengatakan konflik ini ""memasuki tahap yang menentukan.""
NATO dan Ukraina dijadwalkan akan melakukan pembicaraan pekan depan setelah adanya penembakan rudal eksperimental oleh Rusia tersebut.",internasional
VIDEO: Detik-detik Rudal Israel Hantam Masjid di Kamp Nuseirat Gaza," Minggu, 24 Nov 2024 13:40 WIB ","Rekaman menunjukkan detik-detik rudal Israel menghantam sebuah masjid di kamp pengungsi Nuseirat di Gaza pada Sabtu (23/11).
Orang-orang langsung berlarian untuk menyelamatkan diri.
Kementerian kesehatan Gaza mengatakan hanya sedikit yang terluka dalam insiden tersebut.
Agresi brutal Israel sejak 7 Oktober 2023 telah membunuh lebih dari 44 ribu warga Gaza.
",internasional
RI-Australia Sepakat Tukar Tahanan Pelaku Jaringan Bali Nine," Minggu, 24 Nov 2024 13:20 WIB ","Australia menyebut Indonesia telah setuju untuk bertukar tahanan dengan memulangkan lima anggota yang tersisa dari jaringan penyelundupan narkoba Bali Nine yang saat ini menjalani hukuman seumur hidup.
Sebagai gantinya, Indonesia juga berupaya memulangkan warga negara (WNI) yang kini ditahan di Australia.

Dilansir Reuters, Minggu (24/11/2024), Asisten Menteri Keuangan Australia Stephen Jones mengatakan Perdana Menteri Australia Anthony Albanese mengangkat isu tahanan selama pertemuan dengan Presiden Prabowo Subianto di sela-sela KTT APEC di Peru.
Indonesia sebelumnya telah menyatakan akan memulangkan terpidana mati kasus narkoba Mary Jane Veloso ke Filpina. Mary Jane adalah satu-satunya terpidana mati yang lolos dari eksekusi pada detik-detik terakhir pada tahun 2015.
Sisanya, termasuk dua pemimpin Bali Nine, dieksekusi oleh regu tembak pada tahun tersebut.
""Ini adalah kebijakan presiden, tetapi pada prinsipnya, presiden telah menyetujui atas dasar kemanusiaan,"" kata Menteri Hukum Supratman Andi Agtas kepada Reuters.






Dia juga menyebut Prancis juga telah meminta pemulangan seorang tahanan. Indonesia sendiri belum memiliki prosedur resmi pemindahan tahanan internasional. Tetapi, Supratman menegaskan persoalan tersebut akan dituntaskan sambil menekankan negara mitra harus mengakui proses peradilan Indonesia.
""Ini penting untuk menjaga hubungan baik dengan negara-negara sahabat. Tetapi ini juga demi kepentingan kita karena kita memiliki tahanan di luar negeri,"" katanya.
Jaringan Bali Nine terdiri dari sekelompok warga negara Australia yang ditangkap pada tahun 2005 karena mencoba menyelundupkan heroin keluar dari Indonesia. Satu dari sembilan orang itu dibebaskan dari penjara pada 2018.
Sementara, seorang lainnya meninggal karena kanker pada tahun yang sama. Eksekusi terhadap dua pemimpin kelompok itu, Andrew Chan dan Myuran Sukumaran, pada 2015 sempat memicu keretakan diplomatik antara Australia dan Indonesia. Australia menarik duta besarnya sebagai bentuk protes terkait eksekusi mati warganya tersebut.",internasional
Daftar Negara Anggota ICC yang Wajib Tangkap Netanyahu," Minggu, 24 Nov 2024 12:22 WIB ","Mahkamah Kriminal Internasional (International Criminal Court/ ICC) mengeluarkan surat perintah penangkapan Perdana Menteri Israel Benjamin Netanyahu dan mantan Menteri Pertahanan Yoav Gallant pada Rabu (20/11) menyusul tindakan agresi Israel di Gaza yang hingga kini belum berhenti.
""(Pengadilan) mengeluarkan surat perintah penangkapan untuk dua orang, Tn Benjamin Netanyahu dan Tn Yoav Gallant, atas kejahatan terhadap kemanusiaan dan kejahatan perang yang dilakukan setidaknya sejak 8 Oktober 2023 hingga setidaknya 20 Mei 2024, hari ketika penuntutan mengajukan permohonan surat perintah penangkapan,"" demikian pernyataan ICC.
Netanyahu dan tersebut dituduh melakukan ""kejahatan perang berupa kelaparan sebagai metode peperangan dan kejahatan terhadap kemanusiaan berupa pembunuhan, penganiayaan, dan tindakan tidak berperikemanusiaan lainnya"".
Menyusul pernyataan tersebut, Kepala kebijakan luar negeri Uni Eropa Josep Borrell mengeluarkan sebuah pengingat agar seluruh anggota mematuhi keputusan tersebut.

""Keputusan-keputusan ini mengikat semua negara yang tergabung dalam Statuta Roma, yang mencakup semua negara anggota Uni Eropa,"" Josep Borrell dalam unggahan di X, Kamis (21/11).
Seluruh 124 anggota Statuta Roma, perjanjian yang membentuk ICC, sekarang diharuskan untuk menangkap kedua warga Israel tersebut dan menyerahkannya ke pengadilan.
Hal ini kemungkinan besar akan membuat Netanyahu dan Gallant membatasi perjalanan mereka agar tidak ditahan.
Surat perintah penangkapan semacam ini bukan pertama kali dikeluarkan ICC. Namun, beberapa negara diketahui pernah mengabaikan kewajiban tersebut.

Afrika Selatan dan Yordania gagal menangkap Omar Hassan al-Bashir ketika otokrat Sudan itu mengunjungi mereka, sehingga mengundang kemarahan kelompok-kelompok hak asasi manusia dan ICC.
Kali ini, Hungaria dan Argentina dengan tegas menolak untuk mematuhi surat perintah penangkapan Netanyahu dan Gallant. Hungaria bahkan akan mengundang Netanyahu ke negaranya.
ICC sendiri tidak memiliki kekuatan penegakan hukum, dan hanya mengandalkan kerja sama negara-negara anggota untuk menangkap dan menyerahkan para tersangka.
Namun sejumlah negara seperti Prancis dan Belanda mengaku akan bertindak berdasarkan surat perintah tersebut jika diperlukan.


Dikutip dari Middle East Eye, berikut daftar lengkap semua negara penandatangan ICC yang berkewajiban untuk menangkap Netanyahu dan Gallant:
- Afghanistan- Albania- Andorra- Antigua dan Barbuda- Argentina- Armenia- Australia- Austria- Bangladesh- Barbados- Belgia- Belize- Benin- Bolivia- Bosnia dan Herzegovina- Botswana- Brasil- Bulgaria- Burkina Faso- Cabo Verde- Kamboja- Kanada- Republik Afrika Tengah- Chad- Chili- Kolombia- Komoro- Kongo- Kepulauan Cook- Kosta Rika- Pantai Gading- Kroasia- Siprus- Republik Ceko- Republik Demokratik Kongo- Denmark- Djibouti- Dominika- Republik Dominika- Ekuador- El Salvador- Estonia- Fiji- Finlandia- Prancis- Gabon- Gambia- Georgia- Jerman- Ghana- Yunani- Grenada- Guatemala- Guinea- Guyana- Honduras- Hungaria- Islandia- Irlandia- Italia- Jepang- Yordania- Kenya- Kiribati- Latvia- Lesotho- Liberia- Liechtenstein- Lituania- Luksemburg- Madagaskar- Malawi- Maladewa- Mali- Malta- Kepulauan Marshall- Mauritius- Meksiko- Mongolia- Montenegro- Namibia- Nauru- Belanda- Selandia Baru- Niger- Nigeria- Makedonia Utara- Norwegia- Palestina- Panama- Paraguay- Peru- Polandia- Portugal- Korea Selatan- Moldova- Rumania- Saint Kitts dan Nevis- Saint Lucia- Saint Vincent dan Grenadines- Samoa- San Marino- Senegal- Serbia- Seychelles- Sierra Leone- Slovakia- Slovenia- Afrika Selatan- Spanyol- Suriname- Swedia- Swiss- Tajikistan- Tanzania- Timor-Leste- Trinidad dan Tobago- Tunisia- Uganda- Inggris- Uruguay- Vanuatu- Venezuela- Zambia
Pengadilan Kriminal Internasional (ICC) mengeluarkan perintah penangkapan PM Israel Benjamin Netanyahu atas kejahatan perang di Gaza.",internasional
"RUDAL: Beda Zionisme, Yahudi, dan Antisemit yang Identik dengan Israel"," Minggu, 24 Nov 2024 10:45 WIB ","Agresi brutal Israel ke Jalur Gaza Palestina membuat istilah Zionis, Yahudi, dan antisemit kerap diperbincangkan. Apa makna dan perbedaan ketiga istilah itu?",internasional
Alasan 2 Negara Anggota ICC Tolak Tangkap Netanyahu," Minggu, 24 Nov 2024 10:40 WIB ","Argentina dan Hungaria menjadi dua negara anggota Mahkamah Kriminal Internasional (International Criminal Court/ ICC) yang menolak untuk menangkap Perdana Menteri Israel Benjamin Netanyahu.
Perdana Menteri Hungaria Viktor Orban mengatakan dirinya tidak akan mematuhi keputusan ICC yang ingin menangkap Netanyahu karena diduga melakukan 'kejahatan perang' di Gaza. Ia bahkan mengundang Netanyahu untuk berkunjung ke negaranya.
""Hari ini, saya akan mengundang Perdana Menteri Israel, Tuan Netanyahu, untuk berkunjung ke Hungaria. Dalam undangan itu, saya akan menjamin kepadanya bahwa jika dia datang, putusan ICC tidak akan berlaku di Hungaria. Kami tidak akan mengikuti isinya,"" kata Orban pada Jumat (22/11), dikutip dari Al Jazeera.
Menurutnya, keputusan ICC untuk menangkap Netanyahu merupakan keputusan yang ""salah"". Pasalnya, kata Orban, ICC tidak punya hak untuk menangkap Netanyahu gara-gara melakukan genosida di Gaza.

Orban sendiri telah menjalin hubungan baik dengan Netanyahu saat dirinya berkuasa di Hungaria pada 2010. Sejak saat itu, Hungaria dan Israel menjalin hubungan politik yang erat hingga saat ini.
Terpisah, Presiden Argentina Javier Milei mengatakan negaranya sangat tidak setuju dengan perintah penangkapan Netanyahu dan mantan Menteri Pertahanan Israel Yoav Gallant.
""Keputusan ini mengabaikan hak Israel yang sah untuk mempertahankan diri dari serangan terus-menerus dari organisasi-organisasi teroris seperti Hamas dan Hizbullah,"" tulis Milei, dikutip dari Buenos Aires Herald.
Milei menyebut bahwa Israel telah mengalami ""agresi brutal"" dari organisasi-organisasi di Gaza. Milei menyebut serangan Israel terhadap warga Palestina sebagai ""pembelaan diri"" dan menggambarkan keputusan ICC sebagai ""kriminalisasi"" atas upaya tersebut.

""Argentina menyatakan solidaritasnya terhadap Israel, membela haknya untuk melindungi rakyatnya, dan menuntut pembebasan semua sandera dengan segera,"" tuturnya.
Sebagai informasi, ICC sebelumnya telah mengeluarkan surat perintah penangkapan PM Netanyahu dan Yoav Gallant pada Rabu (20/11) menyusul tindakan agresi Israel di Gaza yang hingga kini belum berhenti.
""[Pengadilan] mengeluarkan surat perintah penangkapan untuk dua orang, Tn. Benjamin Netanyahu dan Tn. Yoav Gallant, atas kejahatan terhadap kemanusiaan dan kejahatan perang yang dilakukan setidaknya sejak 8 Oktober 2023 hingga setidaknya 20 Mei 2024, hari ketika penuntutan mengajukan permohonan surat perintah penangkapan,"" demikian pernyataan ICC.
Keputusan ICC ini membuat Netanyahu dan Gallant menjadi buronan di 124 negara anggota ICC, termasuk Hungaria dan Argentina.


Menurut Statuta Roma, semua keputusan yang sudah diambil ICC wajib dipatuhi oleh seluruh negara yang menjadi anggotanya. Artinya, keputusan ICC untuk menangkap Netanyahu dan Gallant harus dipatuhi oleh negara-negara anggota ICC.
Maka karena itu, menurut pengacara ICC, Jonathan Kuttab, semua negara tersebut bisa menangkap Netanyahu dan Gallant jika kedua atau salah satu dari mereka berada di sana.
Pasalnya, sebagai anggota, semua negara tersebut harus mematuhi segala ketentuan dari ICC.",internasional
Jejak Perseteruan Duterte vs Bongbong Berujung Ancaman Pembunuhan," Minggu, 24 Nov 2024 10:00 WIB ","Konflik Wakil Presiden Filipina Sara Duterte dengan Presiden Filipina Ferdinand 'Bongbong' Marcos Jr memanas usai pernyataan soal ancaman pembunuhan Bongbong.
Keduanya telah cukup lama berselisih di puncak politik Filipina, mulai dari soal kebijakan luar negeri hingga perang mantan Presiden Filipina Rodrigo Duterte terhadap narkoba.

Konflik ini membuat Sara mengundurkan diri dari kabinet pada Juni silam. Namun, ia tetap menjabat sebagai wakil presiden.
Pengunduran diri ini menandakan runtuhnya aliansi politik yang membantu Sara Duterte dan Marcos mengamankan kemenangan pemilu 2022 dengan selisih suara yang besar.
Sentimen terhadap Bongbong bukan hanya berasal dari Sara, tetapi juga anggota keluarga Duterte lainnya.
Pada Januari 2024, Wali Kota Davao sekaligus anak eks presiden Filipina Rodrigo Duterte, Sebastian Baste Duterte, mengkritik Bongbong dan meminta Bongbong mengundurkan diri dari kursi presiden.


Menurut Sebastian, Marcos membiarkan masalah terus berlanjut di bawah pengawasan dia, termasuk perpecahan dalam pemerintahan.
Terbaru, Sara meminta Bongbong untuk dibunuh jika dirinya terbunuh. Pernyataan ini menanggapi seorang warganet yang memintanya untuk tetap aman.
Warganet tersebut menyebut Sara Duterte berada di wilayah musuh saat dirinya berada di ruang bawah Kongres bersama kepala stafnya. Namun, Sara Duterte tak menyebutkan adanya dugaan ancaman terhadap dirinya.

Ia hanya mengatakan bahwa dirinya telah berbicara dengan seorang pembunuh bayaran dan menginstruksikan untuk membunuh Marcos, istrinya, dan pembicara dari DPR Filipina jika ia dibunuh.
""Saya telah berbicara dengan seseorang. Saya bilang, jika saya terbunuh, bunuhlah BBM (Bongbong Marcos), (ibu negara) Liza Araneta, dan (Ketua DPR) Martin Romualdez. Tidak main-main. Tidak main-main,"" kata Sara Duterte dalam konferensi pers, Sabtu (23/11).
""Saya bilang, 'jangan berhenti sampai Anda membunuh mereka' dan kemudian dia mengiyakan,"" lanjutnya.
Pernyataan tersebut membuat Istana Kepresidenan Filipina bersumpah untuk mengambil tindakan serius.

""Bertindak berdasarkan pernyataan wakil presiden yang jelas dan tegas bahwa ia telah menyewa seorang pembunuh bayaran untuk membunuh presiden jika sebuah rencana yang dituduhkan terhadapnya berhasil, sekretaris eksekutif telah merujuk ancaman aktif ini kepada Komando Keamanan Presiden untuk segera mengambil tindakan yang tepat,"" ujar Kantor Komunikasi Kepresidenan Filipina.
""Ancaman apapun terhadap nyawa presiden harus selalu ditanggapi dengan serius, terlebih lagi ancaman ini telah diungkapkan secara terbuka dengan istilah yang jelas dan pasti,"" tambahnya.",internasional
"Prabowo Pulang dari 6 Negara, Bawa Potensi Investasi Hampir Rp294 T"," Minggu, 24 Nov 2024 09:40 WIB ","Presiden Prabowo Subianto tiba di Jakarta pada Minggu (24/11) usai melakukan kunjungan kenegaraan ke enam negara selama lebih dari dua pekan.
Prabowo tiba di Bandara Halim Perdana Kusuma pada pukul 05.30 WIB dan disambut langsung oleh Wakil Presiden Gibran Rakabuming Raka, Menko Polkam Budi Gunawan, Menteri Pertahanan Sjafrie Sjamsoeddin, Menteri Sekretaris Negara Prasetyo Hadi, Menteri Perumahan Maruarar Sirait, Kepala BIN Herindra, Panglima TNI Agus Subianto dan Kapolri Listyo Sigit Prabowo.

Gibran dan sejumlah pejabat tersebut telah menunggu untuk menyambut Prabowo di seberang karpet merah.
""Selamat datang kembali, Pak"" kata mereka ke Prabowo.
Prabowo yang tampak mengenakan setelan jas berwarna biru donker dan berpeci hitam segera menyalami mereka yang menyambutnya dengan sapaan hormat dan hangat.
Prabowo telah melakukan kunjungan ke enam negara pada 8-23 November, dimulai dari China untuk bertemu Presiden Xi Jinping, lalu dilanjutkan ke Amerika Serikat (AS) berjumpa Presiden AS Joe Biden.


Kemudian, Prabowo juga menghadiri dua konferensi internasional, yakni KTT APEC di Peru dan KTT G20 di Brasil.
Selanjutnya, Prabowo bertolak ke Inggris untuk bertemu Raja Charles III dan Perdana Menteri Inggris Keir Starmer.

Setelah itu, ia berkunjung ke Uni Emirat Arab (UEA) bertemu Presiden MBZ. Di UEA, kedua negara melakukan pertukaran nota kesepahaman (MoU) dalam sejumlah bidang, mulai dari industri dan advanced technology, energi, kesehatan, kebudayaan, pariwisata, pertambangan dan infrastruktur, hingga pengembangan dan pembaruan pemerintahan.
Dalam pertemuan tersebut, Prabowo dan MBZ juga sepakat memperkuat hubungan ekonomi dan kerja sama strategis Indonesia-UEA. Prabowo juga menyampaikan prioritas bagi pemerintah yang ia pimpin adalah menjamin keamanan dan ketahanan pangan.
""Kedua, ketahanan energi, dan selanjutnya untuk melaksanakan hilirisasi, processing dari semua bahan baku kita di Indonesia supaya mendapat nilai tambah,"" jelas Prabowo dalam pertemuan tersebut, Sabtu (23/11).
""Kita bisa bekerja di beberapa bidang dan kami ingin mengundang UEA untuk aktif berpartisipasi dalam ekonomi kami,"" lanjutnya.

Pertemuan tersebut ditutup dengan kesepakatan antara kedua pemimpin untuk meningkatkan koordinasi pada tingkat teknis, pelaksana, hingga tindak lanjut guna mempercepat implementasi kerja sama yang telah dirancang.
Dari serangkaian kunjungan kenegaraan ini, Prabowo berhasil membawa banyak potensi investasi untuk Tanah Air serta kerja sama di berbagai sektor yang akan berdampak positif untuk masyarakat Indonesia, mulai dari bidang ketahanan pangan, gizi, kesehatan, teknologi, hingga energi.
Prabowo total membawa 'oleh-oleh' komitmen investasi senilai US$18,57 miliiar atau sekitar Rp 294,80 triliun (kurs Rp15.880 per US$) dari lawatannya selama dua pekan terakhir.
""Agak-agak melebihi [target ya]. Jadi saya pulang bawa komitmen total US$18,5 miliar. Jadi saya kira ini cukup bagus, menunjukkan kepercayaan global terhadap ekonomi Indonesia, ya,"" ujar Prabowo di Inggris pada Kamis (21/11) lalu waktu setempat.",internasional
Ibu dan 7 Anak Tewas Tertimbun Longsor di Kongo," Minggu, 24 Nov 2024 03:55 WIB ","Seorang ibu dan tujuh anaknya tewas tertimbun longsor di Kongo.
""Seorang ibu dan tujuh anaknya tewas ketika rumah mereka 'ditelan' oleh longsoran lumpur,"" kata Thomas Bakenga, administrator wilayah Kalehe yang mencakup Nkubi, Sabtu (23/11).
Terdapat satu korban jiwa akibat longsor yakni seorang gadis yang berada di posko pengungsian. Tak hanya itu, longsor juga 'menyapu' rumah-rumah dan merusak sejumlah bangunan hingga ladang petani.
Wilayah sekitar Nkubi, yang terletak di lereng bukit hijau, dilanda hujan lebat sejak Jumat (22/11).

""Apa yang terjadi benar-benar sebuah tragedi. Kami telah memberi tahu orang-orang untuk menghindari membangun rumah di lereng,"" kata Bakenga.
Delphin Birimbi, kepala kelompok masyarakat setempat, menambahkan bahwa kerusakan struktural juga cukup besar.
",internasional
"Badai Salju Mengamuk di Irlandia, Inggris hingga Prancis"," Minggu, 24 Nov 2024 03:37 WIB ","Badai salju yang menerjang Eropa barat membuat kekacauan di sejumlah negara seperti Irlandia, Inggris dan Prancis.
Polisi Hampshire di Inggris selatan melaporkan seorang pria tewas setelah pohon tumbang menimpa mobil di jalan utama dekat Winchester pada Sabtu (23/11) pagi.
Sementara di West Yorkshire terjadi kecelakaan lalu lintas diduga terkait dengan badai angin kencang dan salju yang menyebabkan korban jiwa.
Pelabuhan dan bandara di Inggris pun ikut terdampak.
Sementara, Badai Bert menyebabkan setidaknya 60.000 rumah di Irlandia terputus aliran listriknya, serta menutup jalan dan beberapa rute feri dan kereta api di kedua sisi Laut Irlandia.

Di Prancis, puluhan ribu orang masih tanpa listrik setelah Badai Caetano sejak Kamis (21/11). Ratusan penumpang terjebak ketika perjalanan kereta dihentikan akibat pemadaman listrik.
Laporan media menunjukkan banjir di bagian barat Irlandia, yang juga menyebabkan penutupan jalur kereta api di Irlandia Utara. Salju memengaruhi perjalanan di seluruh Inggris.
Salju terberat melanda Skotlandia dan sebagian Inggris utara dan tengah, dengan puluhan peringatan banjir dikeluarkan.
Met Office Inggris mengeluarkan peringatan salju dan es untuk wilayah-wilayah tersebut, dengan mengatakan ada ""kemungkinan besar beberapa pedesaan bisa terputus"".
Perbukitan Skotlandia dihujani salju hingga setebal 40 sentimeter, sementara kecepatan angin mencapai 113 kilometer per jam (70 mil per jam).
Operator feri DFDS membatalkan layanan di beberapa rute hingga Senin (25/11). Pelayaran dari Newhaven dan Dover di Inggris selatan ke Dieppe dan Calais di Prancis sangat terdampak.
Penerbangan di Bandara Newcastle terganggu akibat salju lebat, dengan beberapa penerbangan dialihkan ke Belfast dan Edinburgh.
Avanti West Coast, operator layanan kereta api antara Inggris dan Skotlandia, mengimbau pelanggan untuk tidak melakukan perjalanan melewati Kota Preston di Inggris utara, karena banyak rute yang terganggu.
National Highways juga mengeluarkan peringatan cuaca buruk dan mengumumkan kondisi badai salju di Yorkshire dan Inggris timur laut yang menyebabkan sejumlah penutupan jalan.

Met Éireann, Layanan Meteorologi Nasional Irlandia, juga mengeluarkan peringatan untuk ""angin sangat kencang dan hujan lebat.""
Menurut ESB Networks, yang mengelola sistem listrik negara tersebut, aerah yang paling terpengaruh oleh pemadaman listrik di Irlandia adalah di provinsi barat dan barat laut.
""Tim dan kontraktor telah dikerahkan dan sedang memulihkan pasokan listrik di area yang terdampak di mana aman untuk melakukannya,"" katanya.
Di Inggris, operator National Grid mengatakan pasokan listrik telah dipulihkan, namun masih ada lebih dari 4.000 bangunan tanpa listrik, mayoritas di Inggris barat daya.
Sementara di Prancis, sekitar 47.000 rumah masih mengalami pemadaman listrik usai dua hari lalu negara itu dihantam Badai Caetano.
Sekitar 270.000 orang terdampak 'hidup tanpa listrik' akibat badai tersebut.
Perusahaan Enedis mengatakan telah menurunkan 2.000 teknisi untuk menyambung kembali saluran listrik yang terputus akibat angin yang mencapai 130 km/jam.
Beberapa ratus penumpang terjebak di dua kereta di Prancis barat yang dihentikan oleh pemadaman listrik.
Sekitar 200 orang di kereta dari Hendaye menuju Bordeaux dan 400 orang di TGV cepat yang menuju Paris dari Hendaye menghabiskan hingga sembilan jam di dalam gerbong.
Menteri Transportasi Francois Dourovray, mengatakan sekitar seribu penumpang di sejumlah rute kereta terkena dampak pemadaman listrik tersebut.",internasional
